Event number,Number of tracks,Notes,,,
6679,5,,,,
6693,4,I think,,,
6810,5,,,,
6822,5,,,,
6830,4,,,,
6843,5,,,,
6846,5,two pairs and then one,,,
6851,5,,,,
6854,5,one light one,,,
6902,5,,,,
6968,5,,,,
7014,5,two are very light,,,
7028,5,,,,
7053,5,,,,
7079,5,,,,
7089,4,,,,
7142,5,,,,
7162,5,,,,
7238,5,,,,
7375,5,,,,
7404,4,,,,
7422,5,,,,
7547,5,,,,
7558,,it looks like 6,,,
7600,5,,,,
7642,5,,,,
7674,5,,,,
7685,5,,,,
7705,5,,,,
7722,5,,,,
7768,5,,,,
7815,5,,,,
7878,5,,,,
8103,5,,,,
8116,5,,,,
8320,5,,,,
8342,4,,,,
8447,5,,,,
8540,4,,,,
8638,5,,,,
8688,5,,,,
8790,5,,,,
8799,5,,,,
8849,5,,,,
8925,5,,,,
8938,4,could be a ghost of a fifth,,,
8993,5,,,,
8996,4,,,,
9019,5,,,,
9036,4,,,,
9089,,looks like 6,,,
9106,5,,,,
9117,5,,,,
9177,5,,,,
9196,5,,,,
9218,5,very light fifth,,,
9225,5,,,,
9245,5,,,,
9252,5,,,,
9433,4,,,,
9442,4,there could be a light fifth,,,
9448,,looks like 6,,,
9464,5,,,,
9547,4,,,,
9652,5,really hard to tell,,,
9668,5,,,,
9705,5,light one,,,
9722,5,,,,
9752,5,very small fifth,,,
9824,5,,,,
9840,5,,,,
9842,5,,,,
9856,5,,,,
9866,5,,,,
9899,4,,,,
9996,5,,,,
9997,5,,,,
10201,5,,,,
10226,4,,,,
10467,4,one might secretly be two,,,
10590,5,,,,
10593,4,one might secretly be two,,,
10621,5,,,,
10751,4,,,,
10764,5,,,,
10776,4,possible light one down middle,,,
10861,5,,,,
10874,5,,,,
10875,3,,,,
10880,3,,,,
10882,3,,,,
10897,3,,,,
10910,3,,,,
10917,5,,,,
10937,3,,,,
10944,1,,,,
10952,3,,,,
10957,3,,,,
10964,3,,,,
10983,3,,,,
10984,5,,,,
10987,3,,,,
11005,3,,,,
11014,3,,,,
11031,3,,,,
11032,3,,,,
11070,3,,,,
11082,3,,,,
11083,1,,,,
11095,3,,,,
11111,3,,,,
11119,3,,,,
11125,1,,,,
11143,3,,,,
11147,3,,,,
11168,3,,,,
11172,1,,,,
11185,5,,,,
11187,3,,,,
11199,3,,,,
11205,3,,,,
11206,5,,,,
11208,3,,,,
11213,3,,,,
11228,3,one is very broken,,,
11232,3,,,,
11243,1,,,,
11251,1,,,,
11260,1,,,,
11268,3,,,,
11276,4,maybe a ghostly fifth,,,
11277,3,,,,
11278,3,,,,
11281,3,one has a big break,,,
11305,3,,,,
11385,3,,,,
11400,5,,,,
11402,3,,,,
11435,3,,,,
11496,3,,,,
11518,3,,,,
11609,5,,,,
11723,5,,,,
11801,5,,,,
11831,5,,,,
11872,5,,,,
11886,5,fifth is slight,,,
11908,5,,,,
11914,5,,,,
11926,4,messy,,,
11967,4,,,,
12050,1,,,,
12178,5,,,,
12206,5,,,,
12242,5,,,,
12300,5,,,,
12461,5,,,,
12470,5,,,,
12495,4,could have a short fifth,,,
12525,4,hard to tell,,,
12545,5,,,,
12552,5,,,,
12685,5,,,,
12744,5,maybe a light fifth,,,
12923,4,,,,
12968,5,,,,
13002,4,,,,
13087,4,,,,
13095,5,two are super close together. almost tricked me,,,
13112,5,,,,
13123,5,,,,
13175,5,,,,
13201,5,hard to tell if thick tracks or pairs of tracks,,,
13216,4,,,,
13304,5,,,,
13371,4,,,,
13413,5,,,,
13445,4,one may not actually be a track,,,
13462,5,an absolute mess,,,
13545,4,,,,
13608,5,three close together,,,
13666,5,,,,
13668,4,one is questionable,,,
13787,5,,,,
13796,5,,,,
14086,4,,,,
14112,5,one is very light,,,
14142,4,,,,
14150,5,,,,
14153,5,big clump of tracks. hard to distinguish,,,
14177,4,,,,
14210,4,one breaks into two,,,
14357,5,,,,
14390,4,but then there look like almost two more?,,,
14411,4,,,,
14463,4,,,,
14506,5,two are short,,,
14797,1,,,,
14805,4,,,,
14853,5,,,,
14864,5,,,,
14959,4,there could be a subtle fifth,,,
14961,5,,,,
15026,5,,,,
15048,5,really hard to tell,,,
15053,5,,,,
15071,5,,,,
15102,5,,,,
15157,4,,,,
15183,5,,,,
15237,5,,,,
15242,5,,,,
15275,5,,,,
15318,5,,,,
15319,5,,,,
15322,4,,,,
15333,5,,,,
15361,4,from one angle it looks like one might be two,,,
15374,5,,,,
15376,5,,,,
15395,5,,,,
15442,5,,,,
15453,4,,,,
15545,4,,,,
15549,5,,,,
15566,5,,,,
15622,5,,,,
15764,5,,,,
15986,5,,,,
16033,5,,,,
16043,5,,,,
16100,5,,,,
16110,,I think 6,,,
16134,5,,,,
16330,5,,,,
16414,4,might be a fifth from the left perspective,,,
16440,5,,,,
16682,5,,,,
16684,5,two are very close together-- hard to tell,,,
16749,5,,,,
16778,5,,,,
16819,5,two close together from center view,,,
17034,5,,,,
17113,5,,,,
17143,5,,,,
17278,5,two very close together,,,
17450,5,,,,
17484,4,,,,
17534,5,,,,
17662,5,,,,
17698,5,one is light,,,
17712,5,,,,
17750,5,,,,
17785,5,,,,
17794,5,,,,
17818,4,,,,
17837,5,three very close together,,,
17946,5,,,,
18197,5,,,,
18240,5,,,,
18287,5,,,,
18358,5,not sure about fifth one down middle,,,
18508,5,,,,
18605,5,,,,
18673,5,,,,
18770,4,,,,
18840,5,,,,
18934,4,,,,
18973,5,,,,
19127,4,,,,
19196,5,,,,
19331,5,,,,
19335,5,two close together,,,
19384,5,,,,
19398,5,,,,
19424,,wild. so many tracks it seems,,,
19439,5,,,,
19564,5,confusing,,,
19669,4,three(?) very close together,,,
19672,4,,,,
19708,1,,,,
19809,4,,,,
19828,4,,,,
19877,5,,,,
19991,5,,,,
20014,4,,,,
20018,4,,,,
20064,5,,,,
20114,4,maybe ghost of a fifth,,,
20118,,6,,,
20158,5,,,,
20169,4,not sure if there's a fifth down center,,,
20249,5,two are super close together,,,
20258,5,,,,
20276,5,,,,
20368,4,,,,
20402,5,two are close together,,,
20511,5,,,,
20557,1,,,,
20662,5,,,,
20805,5,,,,
20864,5,,,,
20893,5,,,,
20898,5,,,,
21017,5,,,,
21200,,lot of tracks overlapping,,,
21218,5,,,,
21263,5,,,,
21303,4,,,,
21316,5,,,,
21348,5,,,,
21349,5,,,,
21405,5,,,,
21437,5,,,,
21465,5,,,,
21546,5,,,,
21632,5,,,,
21639,4,,,,
21640,5,,,,
21697,5,,,,
21844,5,,,,
21879,5,,,,
21917,5,two pairs close together,,,
21929,5,,,,
22116,4,assuming two compose a broken track,,,
22136,4,,,,
22147,5,,,,
22316,1,,,,
22358,4,,,,
22387,4,,,,
22389,5,two close,,,
22707,5,,,,
22723,5,,,,
22752,4,,,,
22762,4,,,,
22857,5,,,,
22907,5,,,,
22953,5,,,,
22968,,unequivocally 6,,,
23003,5,not sure if middle one counts,,,
23134,5,,,,
23276,5,three are very light,,,
23297,5,,,,
23347,5,,,,
23375,4,,,,
23402,5,,,,
23439,5,,,,
23440,5,,,,
23476,4,,,,
23549,4,messy,,,
23594,5,,,,
23645,4,,,,
23678,4,,,,
23684,4,,,,
23812,5,,,,
23830,5,I think that one is two. pretty tricky,,,
23849,5,,,,
23860,5,,,,
23880,5,,,,
23922,5,,,,
23957,5,,,,
24139,4,one might be two ,,,
24145,5,,,,
24284,4,,,,
24303,4,,,,
24451,5,,,,
24465,5,,,,
24767,4,,,,
24828,5,,,,
24831,1,,,,
24845,4,,,,
24888,1,,,,
24893,4,,,,
24970,5,,,,
25083,5,,,,
25229,5,,,,
25295,5,,,,
25323,5,,,,
25348,5,,,,
25410,5,,,,
25518,4,,,,
25525,5,,,,
25543,5,,,,
25710,4,,,,
25799,5,,,,
25846,5,,,,
25944,4,,,,
26014,4,,,,
26143,4,,,,
26165,5,,,,
26243,4,,,,
26316,4,one might be two,,,
26321,5,,,,
26340,5,one breaks into two,,,
26372,5,,,,
26399,5,,,,
26422,5,,,,
26495,5,,,,
26505,5,,,,
26521,4,,,,
26529,4,,,,
26539,5,,,,
26753,5,two close together,,,
26764,5,,,,
26768,5,,,,
26963,4,there might be a little nub of a fifth,,,
26966,5,,,,
27086,5,,,,
27191,1,,,,
27211,5,,,,
27448,5,,,,
27525,1,,,,
27570,5,,,,
27640,5,,,,
27668,5,,,,
27825,5,,,,
27890,5,,,,
27894,5,,,,
28196,5,,,,
28201,5,,,,
28287,5,,,,
28379,5,,,,
28455,4,,,,
28481,5,,,,
28489,5,,,,
28670,5,,,,
28716,5,,,,
28719,5,,,,
28726,5,,,,
28763,5,,,,
28782,5,,,,
28800,4,,,,
28852,5,,,,
29036,1,,,,
29319,5,,,,
29350,5,,,,
29362,5,,,,
29368,5,,,,
29375,5,,,,
29413,4,,,,
29428,5,,,,
29436,5,,,,
29442,4,,,,
29457,5,,,,
29507,5,,,,
29527,5,,,,
29534,5,one is relatively light,,,
29560,1,,,,
29596,5,,,,
29643,4,,,,
29751,5,,,,
29860,5,,,,
29907,5,,,,
29966,5,,,,
30080,5,,,,
30089,5,,,,
30115,5,,,,
30167,4,,,,
30189,5,,,,
30269,4,,,,
30289,5,fifth is sneaky,,,
30333,4,,,,
30489,4,,,,
30587,5,,,,
30619,5,,,,
30630,5,,,,
30756,5,,,,
30773,5,,,,
31054,4,,,,
31210,5,,,,
31231,5,,,,
31268,5,two close together,,,
31292,5,,,,
31384,5,,,,
31403,5,,,,
31418,5,two close,,,
31436,5,,,,
31444,5,,,,
31476,5,,,,
31525,5,,,,
31569,4,,,,
31572,5,,,,
31738,5,,,,
31781,5,,,,
31802,5,two close,,,
31826,5,,,,
31967,4,,,,
32077,5,,,,
32168,5,,,,
32179,4,,,,
32247,5,,,,
32392,5,,,,
32402,5,,,,
32444,5,,,,
32494,4,,,,
32506,5,,,,
32573,5,,,,
32614,5,weird looking,,,
32628,4,,,,
32660,5,,,,
32679,4,unclear-- could have a fifth,,,
32700,5,,,,
32856,5,,,,
32900,5,,,,
32908,5,,,,
32940,4,,,,
32968,5,,,,
32984,4,,,,
32998,5,,,,
33014,5,one is veeeeery short,,,
33146,5,,,,
33177,5,,,,
33197,5,,,,
33210,5,,,,
33237,5,,,,
33238,,pileup,,,
33244,5,,,,
33364,5,,,,
33365,5,,,,
33419,5,two close,,,
33477,5,,,,
33486,4,,,,
33490,5,,,,
33548,5,,,,
33591,5,,,,
33619,5,,,,
33629,5,,,,
33674,5,two little ones together,,,
33683,5,,,,
33709,5,,,,
33719,5,,,,
33742,5,,,,
33744,5,,,,
33791,5,,,,
33828,,6 if you count the small ones,,,
33864,5,three are light,,,
33904,5,,,,
33910,1,,,,
33912,5,,,,
33917,5,3 close,,,
34028,5,,,,
34044,4,,,,
34058,4,,,,
34245,4,,,,
34290,5,two close,,,
34441,4,,,,
34502,5,,,,
34515,4,,,,
34544,5,,,,
34614,5,,,,
34656,5,,,,
34662,4,,,,
34691,5,,,,
34758,5,two close,,,
34765,5,,,,
34775,5,,,,
34779,5,,,,
34827,5,,,,
34856,5,,,,
34894,5,two close,,,
34903,5,,,,
34921,5,,,,
34922,5,,,,
34952,5,,,,
34965,4,,,,
34972,4,,,,
35182,5,,,,
35222,5,,,,
35275,5,,,,
35292,5,,,,
35302,4,mostly confident,,,
35319,4,,,,
35351,5,,,,
35463,4,,,,
35508,5,,,,
35522,4,,,,
35628,5,,,,
35721,5,,,,
35738,5,,,,
35762,5,,,,
35775,5,,,,
35792,5,,,,
35913,4,messy,,,
35916,5,,,,
35958,5,,,,
36049,5,,,,
36063,5,,,,
36071,5,,,,
36076,5,,,,
36279,4,,,,
36306,4,,,,
36369,5,,,,
36411,5,,,,
36481,5,,,,
36501,5,,,,
36512,5,,,,
36513,5,,,,
36517,4,tricky,,,
36535,5,,,,
36558,5,,,,
36577,5,,,,
36664,5,,,,
36673,5,,,,
36731,5,,,,
36847,5,,,,
36861,,pileup,,,
37014,1,,,,
37087,5,fifth is very slight,,,
37156,5,iffy,,,
37182,5,,,,
37247,5,iffy,,,
37280,5,light fifth,,,
37391,5,,,,
37407,5,,,,
37411,5,,,,
37467,4,,,,
37516,5,,,,
37553,4,,,,
37577,5,really hard to tell but I think one splits at the end into two,,,
37688,5,,,,
37743,3,,,,
37763,5,,,,
37805,5,three(?) close together,,,
37809,3,,,,
37848,3,,,,
37867,3,,,,
37872,4,short tracks,,,
37883,5,,,,
37912,3,,,,
37920,5,,,,
37954,3,,,,
37969,3,,,,
37975,3,,,,
37986,3,,,,
38017,5,,,,
38096,3,,,,
38123,5,,,,
38126,5,,,,
38170,5,light fifth,,,
38196,3,,,,
38200,5,,,,
38220,3,,,,
38245,5,,,,
38319,5,,,,
38320,5,,,,
38323,3,,,,
38338,5,,,,
38345,5,,,,
38371,4,,,,
38408,3,,,,
38415,5,,,,
38424,5,,,,
38566,5,,,,
38588,3,,,,
38640,3,,,,
38681,5,fifth is light,,,
38779,5,,,,
38808,3,,,,
38863,3,,,,
38890,5,,,,
38896,5,assuming one is two,,,
38951,5,,,,
38955,5,,,,
38977,5,,,,
39211,4,,,,
39235,5,,,,
39243,5,,,,
39252,5,,,,
39314,5,,,,
39358,5,,,,
39381,5,,,,
39422,5,,,,
39439,5,,,,
39468,5,,,,
39517,3,,,,
39578,3,,,,
39627,5,,,,
39628,5,,,,
39696,5,,,,
39725,5,,,,
39798,5,,,,
39868,5,,,,
39913,4,,,,
39921,4,,,,
39923,5,,,,
39936,4,,,,
40012,1,,,,
40041,4,,,,
40070,4,,,,
40282,5,,,,
40320,4,,,,
40397,5,,,,
40435,5,,,,
40568,4,,,,
40626,5,,,,
40658,5,,,,
40669,5,,,,
40723,4,,,,
40951,5,one broke track,,,
41089,5,,,,
41114,5,,,,
41185,5,,,,
41206,4,,,,
41271,4,,,,
41348,4,,,,
41407,4,,,,
41620,4,,,,
41665,5,,,,
41757,5,,,,
41784,4,,,,
41813,4,,,,
41826,4,,,,
41835,4,,,,
41993,5,,,,
42071,4,,,,
42099,5,,,,
42153,5,,,,
42219,5,,,,
42237,4,,,,
42266,5,,,,
42282,5,,,,
42367,5,,,,
42400,5,,,,
42434,4,,,,
42440,5,,,,
42533,5,,,,
42595,5,,,,
42645,5,,,,
42677,5,,,,
42777,5,,,,
42871,4,,,,
42880,4,,,,
42886,5,,,,
42908,5,,,,
42973,4,,,,
43036,5,,,,
43042,5,,,,
43072,4,,,,
43077,4,,,,
43142,4,,,,
43172,4,,,,
43181,4,,,,
43298,5,,,,
43330,5,,,,
43332,3,,,,
43352,3,,,,
43355,3,two track stick together?,,,
43360,3,,,,
43366,3,,,,
43388,3,,,,
43392,3,,,,
43407,3,,,,
43420,3,,,,
43432,3,,,,
43435,3,,,,
43455,3,,,,
43460,3,,,,
43464,3,,,,
43469,3,,,,
43489,3,,,,
43497,3,,,,
43499,3,,,,
43507,3,,,,
43510,3,,,,
43512,3,,,,
43522,3,,,,
43526,3,,,,
43539,3,,,,
43557,3,,,,
43571,3,,,,
43574,3,,,,
43578,3,,,,
43580,3,,,,
43584,3,,,,
43606,3,,,,
43608,3,,,,
43610,3,,,,
43644,3,,,,
43667,3,,,,
43670,3,,,,
43691,3,,,,
43693,3,,,,
43700,3,,,,
43725,3,,,,
43730,3,,,,
43771,3,,,,
43747,3,,,,
43750,3,,,,
43768,3,,,,
43798,3,,,,
43801,3,,,,
43803,3,,,,
43804,3,,,,
43812,3,,,,
43826,3,,,,
43838,3,,,,
43844,3,,,,
43846,3,,,,
43850,3,,,,
43866,3,,,,
43874,3,,,,
43889,3,,,,
43890,3,,,,
43897,3,,,,
43906,3,,,,
43908,3,,,,
43947,3,,,,
43948,3,,,,
43950,3,,,,
43958,3,,,,
43985,3,,,,
43988,3,,,,
43989,3,,,,
43992,3,,,,
43997,3,,,,
44006,3,,,,
44034,3,,,,
44038,3,,,,
44042,3,,,,
44092,3,,,,
44129,3,,,,
44137,3,,,,
44172,3,,,,
44182,3,,,,
44185,3,,,,
44232,3,,,,
44240,3,,,,
44244,3,,,,
44257,3,,,,
44267,3,,,,
44272,3,,,,
44273,3,,,,
44283,3,,,,
44284,3,,,,
44297,3,,,,
44308,3,,,,
44311,3,,,,
44349,3,,,,
44357,3,,,,
44360,3,,,,
44370,3,,,,
44396,3,,,,
44425,3,,,,
44431,3,,,,
44432,3,,,,
44445,3,,,,
44450,3,,,,
44457,3,,,,
44463,3,,,,
44479,3,,,,
44485,3,,,,
44498,3,,,,
44500,3,,,,
44518,3,,,,
44520,3,,,,
44539,3,,,,
44570,3,,,,
44578,3,,,,
44581,3,,,,
44582,3,,,,
44588,3,,,,
44595,3,,,,
44607,3,,,,
44645,3,,,,
44656,3,,,,
44658,3,,,,
44698,3,,,,
44714,3,,,,
44730,3,,,,
44733,3,,,,
44744,3,,,,
44787,3,,,,
44825,3,,,,
44828,3,,,,
44839,3,,,,
44861,3,,,,
44868,3,,,,
44872,3,,,,
44876,3,,,,
44884,3,,,,
44918,3,,,,
44948,3,,,,
44978,3,,,,
44979,3,,,,
45007,3,,,,
45013,3,,,,
45032,3,,,,
45073,3,,,,
45074,3,,,,
45076,3,,,,
45097,3,,,,
45124,3,,,,
45167,3,,,,
45177,3,,,,
45236,3,,,,
45258,3,,,,
45260,3,,,,
45270,3,,,,
45278,3,,,,
45280,3,,,,
45301,3,,,,
45306,3,,,,
45360,3,,,,
45365,3,,,,
45367,3,,,,
45388,3,,,,
45415,3,,,,
45418,3,,,,
45433,3,,,,
45441,3,,,,
45462,3,,,,
45466,3,,,,
45514,3,,,,
45519,3,,,,
45529,3,,,,
45532,3,,,,
45543,3,,,,
45544,3,,,,
45561,3,,,,
45578,3,,,,
45591,3,,,,
45592,3,,,,
45622,3,,,,
45626,3,,,,
45632,3,,,,
45634,3,,,,
45664,3,,,,
45714,3,,,,
45731,3,,,,
45735,3,,,,
45777,3,,,,
45799,3,,,,
45809,3,,,,
45812,3,,,,
45824,3,,,,
45851,3,,,,
45866,3,,,,
45869,3,,,,
45890,3,,,,
45899,3,,,,
45904,3,,,,
45915,3,,,,
45928,3,,,,
45947,3,,,,
45950,3,,,,
45959,3,,,,
45963,3,,,,
45976,3,,,,
45980,3,,,,
46011,3,,,,
46016,3,,,,
46026,3,,,,
46028,3,,,,
46102,3,,,,
46110,3,,,,
46136,3,,,,
